,GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Unnamed: 10,SeriesFirstDown,Unnamed: 12,NextScore,Description,TeamWin,Unnamed: 16,Unnamed: 17,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
21551,2019092201,2019-09-22,4,13,18,MIA,DAL,4,11,22,,0,,0,"(13:18) (PUNT FORMATION) 2-M.HAACK PUNTS 51 YARDS TO DAL 27, CENTER-46-T.PEPPER. 11-C.WILSON TO DAL 43 FOR 16 YARDS (24-J.BADEMOSI). PENALTY ON DAL-30-A.BROWN, ROUGHING THE KICKER, 15 YARDS, ENFORCED AT MIA 22 - NO PLAY.",0,,,2019,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,1,0,0,,22,OWN,1,DAL,1,ROUGHING THE KICKER,15
22438,2019092900,2019-09-29,1,12,9,TEN,ATL,1,10,45,,1,,0,"(12:09) 72-D.QUESSENBERRY REPORTED IN AS ELIGIBLE.  8-M.MARIOTA PASS SHORT MIDDLE TO 11-A.BROWN FOR 55 YARDS, TOUCHDOWN.",0,,,2019,55,UNDER CENTER,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,45,OWN,0,,0,,0
23767,2019092912,2019-09-29,4,9,2,NO,DAL,1,10,39,,0,,0,(9:02) 28-L.MURRAY RIGHT GUARD TO NO 44 FOR 5 YARDS (30-A.BROWN).,0,,,2019,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT GUARD,39,OWN,0,,0,,0
25101,2019100611,2019-10-06,4,12,26,GB,DAL,1,10,35,,0,,0,"(12:26) (SHOTGUN) 12-A.RODGERS PASS INCOMPLETE DEEP RIGHT TO 81-G.ALLISON (30-A.BROWN). PASS INCOMPLETE ON A ""SEAM"" ROUTE.",0,,,2019,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,35,OWN,0,,0,,0
25119,2019100611,2019-10-06,4,3,45,GB,DAL,4,26,34,,0,,0,"(3:45) (PUNT FORMATION) 6-J.SCOTT PUNTS 58 YARDS TO DAL 8, CENTER-43-H.BRADLEY. 10-T.AUSTIN TO DAL 17 FOR 9 YARDS (42-O.BURKS). PENALTY ON DAL-30-A.BROWN, RUNNING INTO THE KICKER, DECLINED.",0,,,2019,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,1,0,0,,34,OWN,0,DAL,0,RUNNING INTO THE KICKER,0
25226,2019100608,2019-10-06,4,9,6,TEN,BUF,2,14,21,,0,,0,(9:06) (SHOTGUN) 8-M.MARIOTA PASS SHORT MIDDLE TO 11-A.BROWN TO TEN 34 FOR 13 YARDS (39-L.WALLACE).,0,,,2019,13,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,21,OWN,0,,0,,0
27825,2019102008,2019-10-20,2,3,32,TEN,LAC,1,10,14,,1,,0,(3:32) 17-R.TANNEHILL PASS SHORT RIGHT TO 11-A.BROWN TO TEN 30 FOR 16 YARDS (23-R.JENKINS).,0,,,2019,16,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,14,OWN,0,,0,,0
29032,2019102706,2019-10-27,4,5,10,LA,CIN,1,10,3,,0,,0,(5:10) 27-D.HENDERSON LEFT GUARD TO LA 9 FOR 6 YARDS (93-A.BROWN).,0,,,2019,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT GUARD,3,OWN,0,,0,,0
29681,2019110302,2019-11-03,2,7,22,TEN,CAR,3,8,27,,0,,0,(7:22) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE SHORT RIGHT TO 11-A.BROWN [92-V.BUTLER].,0,,,2019,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,27,OWN,0,,0,,0
29738,2019110302,2019-11-03,4,2,4,TEN,CAR,1,10,28,,0,,0,"(2:04) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE DEEP RIGHT TO 11-A.BROWN. PENALTY ON CAR-59-L.KUECHLY, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT TEN 28 - NO PLAY.",0,,,2019,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,1,0,0,,28,OWN,1,CAR,1,DEFENSIVE HOLDING,5
29784,2019102708,2019-10-27,2,6,26,TEN,TB,3,14,21,,0,,0,(6:26) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE DEEP LEFT TO 11-A.BROWN (39-A.ADAMS) [58-S.BARRETT].,0,,,2019,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,21,OWN,0,,0,,0
32272,2019111007,2019-11-10,4,1,55,TEN,KC,4,17,32,,0,,0,(1:55) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE DEEP RIGHT TO 11-A.BROWN (21-B.BREELAND) [56-B.NIEMANN].,0,,,2019,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,32,OWN,0,,0,,0
